tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2/28/2020,PRAMUKA/PANGGANG,5,5,121,123
2/29/2020,PRAMUKA/PANGGANG,4,6,143,295
2/1/2020,KELAPA,4,4,62,83
2/2/2020,KELAPA,4,4,96,66
2/3/2020,KELAPA,3,4,84,135
2/4/2020,KELAPA,4,5,64,101
2/5/2020,KELAPA,4,4,136,137
2/6/2020,KELAPA,3,3,109,85
2/7/2020,KELAPA,3,4,72,89
2/8/2020,KELAPA,3,4,87,83
2/9/2020,KELAPA,4,4,91,144
2/10/2020,KELAPA,3,5,73,132
2/11/2020,KELAPA,7,7,128,200
2/12/2020,KELAPA,4,3,133,137
2/13/2020,KELAPA,3,3,61,56
2/14/2020,KELAPA,4,4,110,96
2/15/2020,KELAPA,4,4,97,145
2/16/2020,KELAPA,5,3,94,130
2/17/2020,KELAPA,3,4,93,116
2/18/2020,KELAPA,5,3,128,102
2/19/2020,KELAPA,4,4,113,105
2/20/2020,KELAPA,4,4,105,113
2/21/2020,KELAPA,6,4,135,106
2/22/2020,KELAPA,4,4,110,60
2/23/2020,KELAPA,4,4,64,62
2/24/2020,KELAPA,2,3,53,46
2/25/2020,KELAPA,3,3,41,72
2/26/2020,KELAPA,4,4,51,77
2/27/2020,KELAPA,4,4,72,67
2/28/2020,KELAPA,4,4,105,80
2/29/2020,KELAPA,4,5,199,103
2/1/2020,HARAPAN,1,6,538,26
2/2/2020,HARAPAN,4,1,471,27
2/3/2020,HARAPAN,1,3,10,59
2/4/2020,HARAPAN,2,2,86,27
2/5/2020,HARAPAN,3,2,29,27
2/6/2020,HARAPAN,1,1,7,5
2/7/2020,HARAPAN,2,1,33,8
2/8/2020,HARAPAN,2,6,34,403
2/9/2020,HARAPAN,5,3,391,24
2/10/2020,HARAPAN,2,2,38,46
2/11/2020,HARAPAN,3,4,29,28
2/12/2020,HARAPAN,1,1,28,7
2/13/2020,HARAPAN,2,2,36,57
2/14/2020,HARAPAN,2,2,65,41
2/15/2020,HARAPAN,1,6,17,523
2/16/2020,HARAPAN,7,2,573,36
2/17/2020,HARAPAN,1,1,20,9
2/18/2020,HARAPAN,4,3,54,51
2/19/2020,HARAPAN,4,6,44,91
2/20/2020,HARAPAN,4,6,44,91
2/21/2020,HARAPAN,1,1,27,12
2/22/2020,HARAPAN,1,4,5,331
2/23/2020,HARAPAN,6,1,336,8
2/24/2020,HARAPAN,2,1,11,10
2/25/2020,HARAPAN,2,1,19,34
2/26/2020,HARAPAN,3,1,133,18
2/27/2020,HARAPAN,2,1,11,23
2/28/2020,HARAPAN,1,1,17,7
2/29/2020,HARAPAN,1,4,19,500
2/1/2020,SABIRA,0,1,0,14
